iter	Passed	Remaining
0	59	23941
1	340	68795
2	399	53668
3	415	41709
4	430	34500
5	487	32516
6	544	31056
7	547	27230
8	794	35058
9	1043	41327
10	1046	37571
11	1295	42530
12	1352	40879
13	1596	44712
14	1604	41831
15	1634	39834
16	1662	38046
17	1905	41070
18	1906	38841
19	1909	36854
20	1914	35090
21	2172	37916
22	2229	37125
23	2237	35615
24	2498	38072
25	2744	40117
26	2988	41954
27	3234	43662
28	3262	42417
29	3508	43968
30	3752	45395
31	3994	46688
32	4239	47915
33	4489	49115
34	4735	50199
35	4979	51177
36	5220	52064
37	5474	53018
38	5719	53822
39	5965	54586
40	6211	55293
41	6459	55982
42	6705	56610
43	6953	57212
44	7210	57846
45	7455	58350
46	7700	58816
47	7947	59271
48	8196	59714
49	8446	60136
50	8695	60530
51	8939	60857
52	9186	61182
53	9429	61465
54	9675	61749
55	9922	62012
56	10168	62257
57	10432	62593
58	10718	63037
59	10988	63366
60	11236	63549
61	11483	63717
62	11731	63872
63	11977	64003
64	12266	64351
65	12513	64464
66	12764	64584
67	13015	64693
68	13265	64791
69	13513	64862
70	13757	64912
71	14006	64974
72	14254	65024
73	14502	65067
74	14752	65106
75	15001	65137
76	15005	64116
77	15253	64140
78	15499	64154
79	15745	64163
80	15995	64180
81	16245	64187
82	16497	64199
83	16747	64198
84	16999	64196
85	17254	64201
86	17500	64169
87	17746	64128
88	17992	64085
89	18239	64042
90	18486	63991
91	18735	63945
92	18987	63905
